Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
5/12/2015 10:10,ASSAULT,BATTERY,Tuesday,SOUTHERN,NONE,200 Block of 11TH ST,-122.4146475,37.77244234
5/12/2015 10:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,CENTRAL,NONE,100 Block of CALIFORNIA ST,-122.3981953,37.79337819
5/12/2015 10:00,BURGLARY,BURGLARY OF RESIDENCE_FORCIBLE ENTRY,Tuesday,INGLESIDE,NONE,200 Block of NEVADA ST,-122.4114994,37.73900872
5/12/2015 10:00,MISSING PERSON,MISSING ADULT,Tuesday,PARK,NONE,1400 Block of GROVE ST,-122.4404831,37.7755529
5/12/2015 9:50,OTHER OFFENSES,DRIVERS LICENSE_SUSPENDED OR REVOKED,Tuesday,INGLESIDE,ARREST_BOOKED,400 Block of MONTEREY BL,-122.4454715,37.73165666
5/12/2015 9:30,NON-CRIMINAL,AIDED CASE,Tuesday,NORTHERN,NONE,1100 Block of FRANCISCO ST,-122.4241235,37.80336134
5/12/2015 9:30,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,TARAVAL,NONE,100 Block of MAJESTIC AV,-122.4524809,37.71617935
5/12/2015 9:30,BURGLARY,BURGLARY OF FLAT_UNLAWFUL ENTRY,Tuesday,PARK,NONE,1300 Block of COLE ST,-122.4491381,37.76208405
5/12/2015 9:30,VEHICLE THEFT,STOLEN TRUCK,Tuesday,BAYVIEW,NONE,SILLIMAN ST / SOMERSET ST,-122.4090461,37.73020218
5/12/2015 9:25,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,INGLESIDE,NONE,1700 Block of CHURCH ST,-122.4267012,37.74329433
5/12/2015 9:15,ASSAULT,BATTERY,Tuesday,MISSION,ARREST_BOOKED,100 Block of EUREKA ST,-122.4382564,37.75987298
5/12/2015 9:15,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Tuesday,MISSION,ARREST_BOOKED,100 Block of EUREKA ST,-122.4382564,37.75987298
5/12/2015 9:09,VANDALISM,MALICIOUS MISCHIEF_BREAKING WINDOWS,Tuesday,PARK,NONE,1700 Block of TURK ST,-122.4374939,37.77987044
5/12/2015 9:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,300 Block of BEACH ST,-122.4148223,37.80743146
5/12/2015 9:00,BURGLARY,BURGLARY OF APARTMENT HOUSE_ATT FORCIBLE ENTRY,Tuesday,TARAVAL,NONE,100 Block of LOUISBURG ST,-122.4496455,37.7210803
5/12/2015 8:55,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Tuesday,TENDERLOIN,NONE,100 Block of JONES ST,-122.4122498,37.78255633
5/12/2015 8:30,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,SOUTHERN,ARREST_BOOKED,1100 Block of MARKET ST,-122.4135641,37.77951403
5/12/2015 8:27,NON-CRIMINAL,AIDED CASE,Tuesday,TARAVAL,NONE,2600 Block of SAN JOSE AV,-122.4507245,37.71586212
5/12/2015 8:15,ASSAULT,BATTERY,Tuesday,INGLESIDE,NONE,MISSION ST / VIRGINIA AV,-122.4214887,37.74312201
5/12/2015 8:11,NON-CRIMINAL,FIRE REPORT,Tuesday,TARAVAL,NONE,100 Block of FONT BL,-122.4736441,37.71555367
5/12/2015 7:30,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Tuesday,SOUTHERN,NONE,600 Block of 8TH ST,-122.4046854,37.77062903
5/12/2015 7:10,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,NORTHERN,UNFOUNDED,VANNESS AV / EDDY ST,-122.4208183,37.78289465
5/12/2015 7:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,1200 Block of MARKET ST,-122.4154442,37.77802457
5/12/2015 7:00,BURGLARY,BURGLARY OF RESIDENCE_FORCIBLE ENTRY,Tuesday,MISSION,NONE,4000 Block of 26TH ST,-122.4304676,37.74823983
5/12/2015 6:46,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Tuesday,TARAVAL,NONE,2600 Block of 26TH AV,-122.4828257,37.73844694
5/12/2015 6:45,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,TARAVAL,NONE,100 Block of GRANVILLE WY,-122.4615649,37.7417383
5/12/2015 6:40,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Tuesday,TARAVAL,NONE,0 Block of DELONG ST,-122.4598694,37.70960617
5/12/2015 6:29,NON-CRIMINAL,AIDED CASE,Tuesday,BAYVIEW,NONE,300 Block of PRINCETON ST,-122.4150679,37.72523436
5/12/2015 6:00,SECONDARY CODES,ATM RELATED CRIME,Tuesday,CENTRAL,NONE,1300 Block of COLUMBUS AV,-122.4192321,37.80647408
5/12/2015 6:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,CENTRAL,NONE,1300 Block of COLUMBUS AV,-122.4192321,37.80647408
5/12/2015 6:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,TARAVAL,NONE,200 Block of SADOWA ST,-122.4608319,37.7122295
5/12/2015 6:00,BURGLARY,BURGLARY OF RESIDENCE_FORCIBLE ENTRY,Tuesday,TARAVAL,NONE,400 Block of PLYMOUTH AV,-122.456136,37.7144981
5/12/2015 6:00,FORGERY/COUNTERFEITING,MONEY_CHANGING FACE AMOUNT,Tuesday,CENTRAL,NONE,500 Block of SANSOME ST,-122.4016054,37.79507461
5/12/2015 6:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,JUNIPERO SERRA BL / STRATFORD DR,-122.4725055,37.71850678
5/12/2015 5:15,ROBBERY,ROBBERY_ARMED WITH A KNIFE,Tuesday,CENTRAL,NONE,0 Block of CLAY ST,-122.3961706,37.79548699
5/12/2015 5:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,SOUTHERN,NONE,FOLSOM ST / 1ST ST,-122.3944849,37.78729824
5/12/2015 4:52,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Tuesday,SOUTHERN,NONE,500 Block of 5TH ST,-122.3999811,37.77762424
5/12/2015 4:45,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Tuesday,BAYVIEW,ARREST_BOOKED,1400 Block of NEWCOMB AV,-122.3870359,37.73360265
5/12/2015 4:30,NON-CRIMINAL,DEATH REPORT_CAUSE UNKNOWN,Tuesday,INGLESIDE,UNFOUNDED,200 Block of ELLINGTON AV,-122.4451366,37.71337126
5/12/2015 4:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,0 Block of GRAFTON AV,-122.4536035,37.71998444
5/12/2015 3:47,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,SOUTHERN,ARREST_BOOKED,BRYANT ST / 2ND ST,-122.3936227,37.78307912
5/12/2015 3:35,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Tuesday,SOUTHERN,NONE,5TH ST / BRYANT ST,-122.4003024,37.77779923
5/12/2015 3:15,SECONDARY CODES,DOMESTIC VIOLENCE,Tuesday,BAYVIEW,ARREST_BOOKED,1000 Block of LECONTE AV,-122.3980042,37.71903318
5/12/2015 3:15,ASSAULT,INFLICT INJURY ON COHABITEE,Tuesday,BAYVIEW,ARREST_BOOKED,1000 Block of LECONTE AV,-122.3980042,37.71903318
5/12/2015 2:25,NON-CRIMINAL,AIDED CASE,Tuesday,SOUTHERN,NONE,5TH ST / BRYANT ST,-122.4003024,37.77779923
5/12/2015 2:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION_FORCIBLE ENTRY",Tuesday,PARK,NONE,100 Block of MUSEUM WY,-122.4401347,37.76460487
5/12/2015 1:46,ARSON,ARSON OF A VEHICLE,Tuesday,BAYVIEW,NONE,1400 Block of SELBY ST,-122.4011524,37.73836283
5/12/2015 1:45,LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,MISSION,NONE,19TH ST / SANCARLOS ST,-122.4199787,37.76018856
5/12/2015 1:40,ASSAULT,BATTERY,Tuesday,RICHMOND,ARREST_BOOKED,4700 Block of GEARY BL,-122.4701904,37.78087579
5/12/2015 1:40,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,RICHMOND,ARREST_BOOKED,4700 Block of GEARY BL,-122.4701904,37.78087579
5/12/2015 1:40,VANDALISM,MALICIOUS MISCHIEF_VANDALISM,Tuesday,RICHMOND,ARREST_BOOKED,4700 Block of GEARY BL,-122.4701904,37.78087579
5/12/2015 1:30,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,TARAVAL,NONE,1600 Block of 9TH AV,-122.4657846,37.75749844
5/12/2015 1:15,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,PARK,UNFOUNDED,200 Block of DOWNEY ST,-122.4469169,37.76538453
5/12/2015 1:05,OTHER OFFENSES,DRIVERS LICENSE_SUSPENDED OR REVOKED,Tuesday,INGLESIDE,ARREST_BOOKED,MISSION ST / 29TH ST,-122.4208966,37.74403815
5/12/2015 1:01,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,BAYVIEW,ARREST_BOOKED,100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Tuesday,BAYVIEW,ARREST_BOOKED,100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,BURGLARY,BURGLARY_VEHICLE (ARREST MADE),Tuesday,BAYVIEW,ARREST_BOOKED,100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,BURGLARY,BURGLARY_VEHICLE_ATT. (ARREST MADE),Tuesday,BAYVIEW,ARREST_BOOKED,100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:01,STOLEN PROPERTY,STOLEN PROPERTY_POSSESSION WITH KNOWLEDGE_RECEIVING,Tuesday,BAYVIEW,ARREST_BOOKED,100 Block of FELTON ST,-122.4061146,37.7296971
5/12/2015 1:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,TENDERLOIN,NONE,300 Block of OFARRELL ST,-122.4105093,37.78604322
5/12/2015 1:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,SOUTHERN,NONE,1100 Block of HOWARD ST,-122.4113591,37.77649448
5/12/2015 1:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Tuesday,SOUTHERN,NONE,1100 Block of HOWARD ST,-122.4113591,37.77649448
5/12/2015 1:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,600 Block of CHESTNUT ST,-122.414077,37.80370389
5/12/2015 1:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
5/12/2015 1:00,ASSAULT,TRESPASS WITHIN 30 DAYS OF CREDIBLE THREAT,Tuesday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641
5/12/2015 1:00,ROBBERY,ROBBERY_BODILY FORCE,Tuesday,MISSION,NONE,MARKET ST / CHURCH ST,-122.42895,37.76750273
5/12/2015 0:59,ASSAULT,BATTERY_FORMER SPOUSE OR DATING RELATIONSHIP,Tuesday,BAYVIEW,NONE,1000 Block of CONNECTICUT ST,-122.3972019,37.75353512
5/12/2015 0:45,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,CENTRAL,NONE,LEAVENWORTH ST / VALLEJO ST,-122.4170328,37.79754233
5/12/2015 0:32,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,MISSION,ARREST_BOOKED,MISSION ST / 16TH ST,-122.4196718,37.76505012
5/12/2015 0:15,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,TARAVAL,ARREST_BOOKED,LINCOLN WY / 10TH AV,-122.4675141,37.76587643
5/12/2015 0:10,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,INGLESIDE,ARREST_BOOKED,3100 Block of MISSION ST,-122.4186097,37.74744531
5/12/2015 0:10,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,ARREST_BOOKED,3100 Block of MISSION ST,-122.4186097,37.74744531
5/12/2015 0:10,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,INGLESIDE,ARREST_BOOKED,3100 Block of MISSION ST,-122.4186097,37.74744531
5/12/2015 0:01,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,INGLESIDE,NONE,1700 Block of FELTON ST,-122.4218805,37.7255738
5/12/2015 0:01,DRUG/NARCOTIC,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,Tuesday,NORTHERN,ARREST_BOOKED,1400 Block of POLK ST,-122.4206606,37.79009982
5/12/2015 0:01,FRAUD,CREDIT CARD_THEFT BY USE OF,Tuesday,TARAVAL,NONE,0 Block of ASHTON AV,-122.4623236,37.71938766
5/12/2015 0:01,OTHER OFFENSES,DRIVERS LICENSE_SUSPENDED OR REVOKED,Tuesday,NORTHERN,ARREST_BOOKED,EDDY ST / POLK ST,-122.4191831,37.78309982
5/12/2015 0:01,NON-CRIMINAL,LOST PROPERTY,Tuesday,CENTRAL,NONE,STOCKTON ST / PACIFIC AV,-122.4084331,37.79670393
5/11/2015 23:59,SEX OFFENSES FORCIBLE,SODOMY (ADULT VICTIM),Monday,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012
5/11/2015 23:56,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE,500 Block of ALEMANY BL,-122.4213053,37.73216388
5/11/2015 23:45,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,1800 Block of GREAT HY,-122.5082384,37.75188708
5/11/2015 23:35,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,NORTHERN,NONE,700 Block of POLK ST,-122.4193872,37.78378998
5/11/2015 23:30,ASSAULT,INFLICT INJURY ON COHABITEE,Monday,SOUTHERN,NONE,SOUTH VAN NESS AV / PLUM ST,-122.4179397,37.77086882
5/11/2015 23:20,VANDALISM,MALICIOUS MISCHIEF_VANDALISM OF VEHICLES,Monday,MISSION,NONE,500 Block of GUERRERO ST,-122.4240369,37.76275139
5/11/2015 23:17,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,SOUTHERN,ARREST_BOOKED,6TH ST / MARKET ST,-122.4102935,37.78223059
5/11/2015 23:00,TRESPASS,TRESPASSING,Monday,TENDERLOIN,ARREST_BOOKED,200 Block of POWELL ST,-122.4082017,37.78688491
5/11/2015 23:00,ASSAULT,BATTERY OF A POLICE OFFICER,Monday,TENDERLOIN,ARREST_BOOKED,200 Block of POWELL ST,-122.4082017,37.78688491
5/11/2015 23:00,OTHER OFFENSES,RESISTING ARREST,Monday,TENDERLOIN,ARREST_BOOKED,200 Block of POWELL ST,-122.4082017,37.78688491
5/11/2015 23:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,400 Block of PERU AV,-122.4260752,37.72693585
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Monday,BAYVIEW,NONE,100 Block of CHANNEL ST,-122.3907533,37.77437923
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,RICHMOND,NONE,600 Block of 40TH AV,-122.5005171,37.77648768
5/11/2015 23:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,SOUTHERN,NONE,900 Block of HOWARD ST,-122.4065085,37.78033132
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,1100 Block of EDDY ST,-122.4257789,37.78231924
5/11/2015 23:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,NONE,RANDOLPH ST / RAMSELL ST,-122.4661968,37.71428028
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,TARAVAL,NONE,MORAGA ST / 11TH AV,-122.4668619,37.75653395
5/11/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,MORAGA ST / 8TH AV,-122.4862455,37.75568145
5/11/2015 22:51,OTHER OFFENSES,DRIVERS LICENSE_SUSPENDED OR REVOKED,Monday,SOUTHERN,ARREST_BOOKED,800 Block of BRYANT ST,-122.4034048,37.77542071
5/11/2015 22:45,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,MISSION,ARREST_BOOKED,CAPP ST / 19TH ST,-122.4181201,37.76030123
5/11/2015 22:30,ROBBERY,ROBBERY_BODILY FORCE,Monday,TENDERLOIN,NONE,600 Block of ELLIS ST,-122.4169161,37.78439445
5/11/2015 22:30,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,BAYVIEW,ARREST_BOOKED,CARROLL AV / QUINT ST,-122.4027012,37.73026636
5/11/2015 22:30,OTHER OFFENSES,RESISTING ARREST,Monday,BAYVIEW,ARREST_BOOKED,CARROLL AV / QUINT ST,-122.4027012,37.73026636
5/11/2015 22:30,ASSAULT,BATTERY OF A POLICE OFFICER,Monday,BAYVIEW,ARREST_BOOKED,CARROLL AV / QUINT ST,-122.4027012,37.73026636
5/11/2015 22:23,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,INGLESIDE,NONE,0 Block of LELAND AV,-122.4052482,37.71172271
5/11/2015 22:23,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,INGLESIDE,NONE,0 Block of LELAND AV,-122.4052482,37.71172271
5/11/2015 22:23,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,INGLESIDE,NONE,0 Block of LELAND AV,-122.4052482,37.71172271
5/11/2015 22:20,OTHER OFFENSES,DRIVERS LICENSE_SUSPENDED OR REVOKED,Monday,INGLESIDE,ARREST_BOOKED,29TH ST / MISSION ST,-122.4208966,37.74403815
5/11/2015 22:17,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Monday,SOUTHERN,NONE,7TH ST / BRYANT ST,-122.4047493,37.7742801
5/11/2015 22:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,2ND ST / BRANNAN ST,-122.3920823,37.78184577
5/11/2015 22:12,FORGERY/COUNTERFEITING,FORGERY_POSSESSION DRIVERS LICENSE OR ID-CARD,Monday,MISSION,JUVENILE BOOKED,2100 Block of MISSION ST,-122.4194705,37.76227017
5/11/2015 22:12,OTHER OFFENSES,RESISTING ARREST,Monday,MISSION,JUVENILE BOOKED,2100 Block of MISSION ST,-122.4194705,37.76227017
5/11/2015 22:12,VANDALISM,MALICIOUS MISCHIEF_GRAFFITI,Monday,MISSION,JUVENILE BOOKED,2100 Block of MISSION ST,-122.4194705,37.76227017
5/11/2015 22:12,VANDALISM,VANDALISM OR GRAFFITI TOOLS_POSSESSION,Monday,MISSION,JUVENILE BOOKED,2100 Block of MISSION ST,-122.4194705,37.76227017
5/11/2015 22:05,NON-CRIMINAL,LOCATED PROPERTY,Monday,BAYVIEW,NONE,600 Block of ARKANSAS ST,-122.3980228,37.75862616
5/11/2015 22:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,JEFFERSON ST / RICHARDHENRYDANA PL,-122.4190877,37.80780155
5/11/2015 22:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,VANNESS AV / UNION ST,-122.4239859,37.79855258
5/11/2015 22:00,VANDALISM,MALICIOUS MISCHIEF_VANDALISM,Monday,INGLESIDE,NONE,MISSION ST / 29TH ST,-122.4208966,37.74403815
5/11/2015 21:41,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,INGLESIDE,ARREST_BOOKED,3300 Block of MISSION ST,-122.4216445,37.74299701
5/11/2015 21:41,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Monday,CENTRAL,NONE,SUTTER ST / HYDE ST,-122.4168291,37.7881787
5/11/2015 21:30,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,NORTHERN,NONE,300 Block of IVY ST,-122.4239222,37.77729679
5/11/2015 21:30,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,TARAVAL,NONE,1700 Block of 36TH AV,-122.4948235,37.75434848
5/11/2015 21:20,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,3200 Block of 20TH AV,-122.4756475,37.72852806
5/11/2015 21:15,ROBBERY,ROBBERY_ARMED WITH A DANGEROUS WEAPON,Monday,SOUTHERN,NONE,MISSION ST / 4TH ST,-122.4042702,37.78447885
5/11/2015 21:10,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,CENTRAL,NONE,200 Block of BATTERY ST,-122.4001718,37.79390507
5/11/2015 21:07,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE,500 Block of BOSWORTH ST,-122.4335361,37.73355614
5/11/2015 21:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,NONE,1500 Block of MCKINNON AV,-122.3883584,37.73530493
5/11/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,BUSH ST / POLK ST,-122.4203074,37.78869895
5/11/2015 21:00,VANDALISM,MALICIOUS MISCHIEF_VANDALISM,Monday,SOUTHERN,NONE,2ND ST / FOLSOM ST,-122.3967072,37.78554295
5/11/2015 20:55,SECONDARY CODES,ATM RELATED CRIME,Monday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.4078454,37.78509432
5/11/2015 20:55,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.4078454,37.78509432
5/11/2015 20:48,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,TENDERLOIN,ARREST_BOOKED,200 Block of TURK ST,-122.4132375,37.78284302
5/11/2015 20:45,WEAPON LAWS,POSS OF LOADED FIREARM,Monday,MISSION,ARREST_BOOKED,MISSION ST / 19TH ST,-122.4192082,37.76023408
5/11/2015 20:45,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,MISSION,ARREST_BOOKED,MISSION ST / 19TH ST,-122.4192082,37.76023408
5/11/2015 20:36,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,BAYVIEW,ARREST_BOOKED,3RD ST / EVANS AV,-122.3879274,37.74270308
5/11/2015 20:35,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,POLK ST / CALIFORNIA ST,-122.4206917,37.79057707
5/11/2015 20:33,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Monday,MISSION,NONE,18TH ST / CASTRO ST,-122.4350029,37.76088781
5/11/2015 20:30,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Monday,PARK,NONE,1700 Block of MCALLISTER ST,-122.4408795,37.77753219
5/11/2015 20:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,PARK,NONE,1100 Block of HAIGHT ST,-122.4412045,37.77079475
5/11/2015 20:19,WARRANTS,WARRANT ARREST,Monday,TENDERLOIN,ARREST_BOOKED,100 Block of TURK ST,-122.4115931,37.78305295
5/11/2015 20:19,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,TENDERLOIN,ARREST_BOOKED,100 Block of TURK ST,-122.4115931,37.78305295
5/11/2015 20:15,BURGLARY,BURGLARY_HOT PROWL_UNLAWFUL ENTRY,Monday,BAYVIEW,NONE,700 Block of KANSAS ST,-122.4030394,37.76024657
5/11/2015 20:15,ASSAULT,BATTERY_FORMER SPOUSE OR DATING RELATIONSHIP,Monday,TARAVAL,ARREST_BOOKED,1500 Block of 24TH AV,-122.4820855,37.75864854
5/11/2015 20:10,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TARAVAL,NONE,ULLOA ST / 46TH AV,-122.4701044,37.74142371
5/11/2015 20:05,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,SOUTHERN,NONE,1ST ST / STEVENSON ST,-122.3985939,37.79056962
5/11/2015 20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,PARK,NONE,2600 Block of GEARY BL,-122.446613,37.78224582
5/11/2015 20:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,INGLESIDE,NONE,300 Block of COLERIDGE ST,-122.4214483,37.74091155
5/11/2015 20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,PARK,NONE,100 Block of CRESTMONT DR,-122.4592387,37.7553268
5/11/2015 20:00,VANDALISM,MALICIOUS MISCHIEF_VANDALISM,Monday,TARAVAL,NONE,300 Block of ASHTON AV,-122.4623492,37.72509921
5/11/2015 20:00,BURGLARY,BURGLARY OF APARTMENT HOUSE_FORCIBLE ENTRY,Monday,PARK,NONE,1600 Block of GROVE ST,-122.4437959,37.77524304
5/11/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,TENDERLOIN,NONE,OFARRELL ST / MASON ST,-122.4096862,37.78620421
5/11/2015 20:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,PARK,NONE,FULTON ST / BRODERICK ST,-122.4398466,37.77664424
5/11/2015 20:00,ROBBERY,ROBBERY_BODILY FORCE,Monday,INGLESIDE,NONE,CESAR CHAVEZ ST / HAMPSHIRE ST,-122.406759,37.74876723
5/11/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,WASHINGTON ST / FRANKLIN ST,-122.4245198,37.79284128
5/11/2015 19:55,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,SOUTHERN,ARREST_BOOKED,HARRISON ST / 10TH ST,-122.4112792,37.77157858
5/11/2015 19:45,FRAUD,FALSE PRETENSES_GRAND THEFT,Monday,SOUTHERN,ARREST_BOOKED,800 Block of MARKET ST,-122.4076335,37.78418935
5/11/2015 19:45,ASSAULT,BATTERY,Monday,MISSION,NONE,4000 Block of 18TH ST,-122.4344469,37.76086707
5/11/2015 19:45,FRAUD,CREDIT CARD_THEFT OF,Monday,SOUTHERN,ARREST_BOOKED,800 Block of MARKET ST,-122.4076335,37.78418935
5/11/2015 19:45,NON-CRIMINAL,AIDED CASE_DOG BITE,Monday,INGLESIDE,NONE,0 Block of MANSFIELD ST,-122.4239603,37.72386865
5/11/2015 19:45,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,Monday,SOUTHERN,ARREST_BOOKED,800 Block of MARKET ST,-122.4076335,37.78418935
5/11/2015 19:44,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,MISSION,NONE,TREAT AV / 18TH ST,-122.4140333,37.76215866
5/11/2015 19:32,WARRANTS,PROBATION SEARCH,Monday,SOUTHERN,UNFOUNDED,10TH ST / HARRISON ST,-122.4112792,37.77157858
5/11/2015 19:32,MISSING PERSON,FOUND PERSON,Monday,SOUTHERN,UNFOUNDED,10TH ST / HARRISON ST,-122.4112792,37.77157858
5/11/2015 19:32,NON-CRIMINAL,AIDED CASE_MENTAL DISTURBED,Monday,SOUTHERN,UNFOUNDED,10TH ST / HARRISON ST,-122.4112792,37.77157858
